id,gid,kecamatan,kelurahan,geom,nama,id_tps,alamat,thn_bangun,klasifikasi_struktur,klasifikasi_pengangkutan,tahun,status,kel_dilayani,kapasitas,vol_masuk,vol_dikelola,vol_diangkut,waktu_angkut,id_delivery,data_tahun,koordinat,lat,lon,utilisasi
,,Kedurus,Kedurus,0101000020ED7F00002D0C12194A03254116BDD4F8FD866141,TPS Kemlaten,164,Jl.Mastrip,,TPS,armroll,,aktif,Kel.Kedurus,28.0,28.0,28.0,28.0,<1 hari,,2021," -7.33047103120234, 112.708066411679",-7.33047103120234,112.708066411679,100.0
38.0,34.0,Jagir,Jagir,0101000020ED7F00005F53A3F4FC2425419B1EF6637F886141,TPS Jagir,159,Jl. Jagir,,TPS,compactor,,aktif,"Kel. Jagir,  Kel. Sidosermo",26.4,26.4,26.4,26.4,<1 hari,,2021,"-7.30244252084244,112.747021068299",-7.30244252084244,112.747021068299,100.0
,,Bendul Merisi,Bendul Merisi,0101000020ED7F000058873E37301C2541A78FE2534E886141,TPS Pasar Beras Bendul Merisi,158,Jl.Bendul Merisi,,TPS,armroll,,aktif,Kel.Jagir,28.0,28.0,28.0,28.0,<1 hari,,2021," -7.30603076265691, 112.736834892947",-7.30603076265691,112.736834892947,100.0
40.0,36.0,Ngagel,Ngagel,0101000020ED7F0000915BC1EA07212541C942AF3FF5886141,TPS Ngagel,157,Jl. Ngagel,,TPS,compactor,,aktif,Kel. Ngagel,19.8,19.8,19.8,19.8,<1 hari,,2021,"-7.29393519668109,112.742401279181",-7.29393519668109,112.742401279181,100.0
,,Pucang Sewu,Pucang Sewu,0101000020ED7F000055F1C58029282541B6AB031552896141,TPS Kalibokor,110,Jl.Kalibokor,,TPS,compactor,,aktif,Kel.Pucang Sewu,33.0,33.0,33.0,33.0,<1 hari,,2021," -7.28718835177864, 112.75064084362",-7.28718835177864,112.75064084362,100.0
42.0,38.0,Gubeng,Gubeng,0101000020ED7F000073C94DE1732925416022791D7B896141,TPS Pasar Pucang,109,Jl. Pasar Pucang Anom,,TPS,armroll,,aktif,Kel. Pucang Sewu,14.0,14.0,14.0,14.0,<1 hari,,2021,"-7.28421452554273,112.752125123976",-7.28421452554273,112.752125123976,100.0
,,Menur Pumpungan,Menur Pumpungan,0101000020ED7F000038B53B2D29332541C92C4E3B49896141,TPS Buktong,115,Jl.Menur-Manyar,,Penempatan Container Plastik,compactor,,aktif,Kel.Menur Pumpungan,19.8,19.8,19.8,19.8,<1 hari,,2021," -7.28777899543575, 112.763391521866",-7.28777899543575,112.763391521866,100.0
44.0,10.0,Simokerto,Simolawang,0101000020ED7F0000F01D79F6D62A2541D4605B95FF8B6141,TPS Simolawang,6,Jl. Simolawang,,TPS,armroll,,aktif,"Simolawang, Simokerto, Sidotopo, Sidodadi",28.0,28.0,28.0,28.0,<1 hari,,2021,"-7.23759210947456,112.753552136294",-7.23759210947456,112.753552136294,100.0
,,Barata Jaya,Barata Jaya,0101000020ED7F0000F44524C454312541C0FDE7E6C9886141,TPS Bratang,111,Jl.Bratang Binangun,,TPS,compactor,,aktif,"Kel.Barata Jaya,",52.8,52.8,52.8,52.8,<1 hari,,2021," -7.29699732051328, 112.761306764371",-7.29699732051328,112.761306764371,100.0
46.0,41.0,Gubeng,Gubeng,0101000020ED7F000098A73BF7AD2325415BED6171218A6141,TPS Kangean,108,Jl. Kangean,,TPS,compactor,,aktif,"Kel. Airlangga, Kel. Mojo, Kel. Gubeng",19.8,19.8,19.8,19.8,<1 hari,,2021,"-7.27220939513501,112.745387254735",-7.27220939513501,112.745387254735,100.0
