no,name,address,kecamatan,kelurahan,tps_type,unit_count,capacity_m3,capacity_kg,status
31,KENDUNG MAKAM,Jl. Sememi (depan maka,Benowo,Kel. Sememi,TPS_BIASA,1,8.0,2000.0,AKTIF
32,KENDUNG,Jl. Raya Kendung Benowo (depan BDH),Benowo,Kel. Sememi,TPS_BIASA,1,14.0,3500.0,AKTIF
33,Romokalisari,Jl. Romokalisari,Benowo,Kel.Romokaliasari,TPS_BIASA,1,8.0,2000.0,AKTIF
34,BABAT JEARAWAT,Jl. Babat Jerawat,Pakal,Kel. Babat Jerawat,TPS_BIASA,1,14.0,3500.0,AKTIF
35,LANGKIR,Jl. Raya Babat Jerawat,Pakal,Kel. Babat Jerawat,TPS_BIASA,1,8.0,2000.0,AKTIF
36,Pondok Benowo,Jl. Raya Sememi (Pondok Benowo Indah),Pakal,Kel. Babat Jerawat,TPS_BIASA,1,14.0,3500.0,AKTIF
37,Pasar Benowo,Jl. Raya Benowo ( Pasar,Pakal,"Kel. Benowo, Kel. Benowo, Kel. Sumber Rejo",TPS_BIASA,1,14.0,3500.0,AKTIF
38,Tambak Dono,Jl. Tambak Dono,Pakal,Kel. Tambakdono,TPS_BIASA,1,8.0,2000.0,AKTIF
39,Depo Candi Lontar,Jl. Lempung Sari,Sambikerep,Kel. Lontar,TPS_BIASA,1,14.0,3500.0,AKTIF
40,BRINGIN,Jl. Bringin,Sambikerep,Kel. Bringin,TPS_BIASA,1,14.0,3500.0,AKTIF
41,LAKARSANTRI,Jl. Lakarsantri,Lakarsantri,Kel. Lakarsantri,TPS_BIASA,1,14.0,3500.0,AKTIF
42,LIDAH KULON,Jl. Perum Lidah Kulon,Lakarsantri,Kel. Lidah Kulon,TPS_BIASA,1,14.0,3500.0,AKTIF
43,PURI LIDAH KULON,Jl. Puri Lidah Kulon,Lakarsantri,Kel. Lidah Kulon,TPS_BIASA,1,8.0,2000.0,AKTIF
44,Lidah Wetan (UNESA),Jl. Lidah,Lakarsantri,"Kel. Lidah Wetan , Kel. Lidah Kulon",TPS_BIASA,1,8.0,2000.0,AKTIF
45,Aspol Bangkingan,Jl. Bangkingan,Lakarsantri,Kel. Bangkingan,TPS_BIASA,1,8.0,2000.0,AKTIF
46,Bangkingan,Jl. Bangkingan,Lakarsantri,Kel. Bangkingan,TPS_BIASA,1,14.0,3500.0,AKTIF
47,Depo Sukomanunggal,Jl. Sukomanunggal,Sukomanunggal,"Kel. Sukomanunggal, Kel. Sukomanunggal, Kel. Simomulyo",TPS_BIASA,2,28.0,7000.0,AKTIF
48,Depo Simo Hilir,Jl. Simo Hilir,Sukomanunggal,"Kel. Simo Mulyo, Kel. Simo Hilir, Kel. Sono Kawijenan",TPS_BIASA,2,16.0,4000.0,AKTIF
49,Simo Rukun,Jl. Simo Mulyo,Sukomanunggal,"Kel. Simomulyo, Kel. Petemon, Kel. Sawahan",TPS_BIASA,2,28.0,7000.0,AKTIF
50,Depo Putat Gede,Jl. Darmo Permai Timur,Sukomanunggal,Kel. Putat Gede,TPS_BIASA,1,14.0,3500.0,AKTIF
51,Depo Sonokwijenan,Jl. Darmo Permai Indah,Sukomanunggal,"Kel. Sono Kewijenan, Kel. Sono Kewijenan, Kel. Prada",TPS_BIASA,1,14.0,3500.0,AKTIF
52,PS. ASEM ROWO,Jl. Asem Rowo,Sukomanunggal,,TPS_BIASA,1,14.0,3500.0,AKTIF
53,Jayamix,Jl. Tanjungsari,Sukomanunggal,,TPS_BIASA,1,14.0,3500.0,AKTIF
54,Genting,Jl. Genting / Jl. Dupak Rukun,Sukomanunggal,,TPS_BIASA,1,14.0,3500.0,AKTIF
55,Tandes,dibangun 2014,Sukomanunggal,,TPS_BIASA,1,14.0,3500.0,AKTIF
56,Depo Sumberejo,Jl. Sumberejo,Sukomanunggal,,TPS_BIASA,1,14.0,3500.0,NONAKTIF
57,ITS,ITS,Sukolilo,"Kel. Keputih, Kel. Keputih, Gebang Putih, Sukolilo",TPS_BIASA,1,14.0,3500.0,AKTIF
58,GEBANG KEPUTIH,Jl. Gebang Putih,Sukolilo,"Kel. Gebang Putih, Kel. Gebang Putih, Keputih, Klampis Ngasem",TPS_BIASA,2,28.0,7000.0,AKTIF
59,KLAMPIS,Jl. Klampis Ngasem,Sukolilo,"Kel. Klampis Ngasem, Kel. Klampis Ngasem, Manyar Sabrangan",TPS_BIASA,1,14.0,3500.0,AKTIF
60,SEMOLOWARU,Jl. Semolowaru,Sukolilo,"Kel. Semolowaru, Kel. Semolo Waru, Medokan Semampir",TPS_BIASA,1,14.0,3500.0,AKTIF
61,MEDOKAN SEMAMPIR,Jl. Medokan Semampir,Sukolilo,"Kel. Medokan Semampir, Kel. Semampir",TPS_BIASA,1,14.0,3500.0,AKTIF
62,Depo Rungkut Alang-alang,Jl. Kali Rungkut,Rungkut,Kel. Kalirungkut,TPS_BIASA,2,28.0,7000.0,AKTIF
63,Rungkut Harapan,Jl. Komp. Perum Rkt.Harapan,Rungkut,Kel. Kalirungkut,TPS_BIASA,1,8.0,2000.0,NONAKTIF
64,Depo Rungkut Kidul (Pasar Pahing),Jl. Pasar Rungkut Kidul P,Rungkut,Kel. Rungkut Kidul,TPS_BIASA,2,28.0,7000.0,AKTIF
65,Rungkut Asri,Jl. Rungkut Asri timur MERR,Rungkut,,TPS_BIASA,1,14.0,3500.0,AKTIF
66,KENDAL SARI,Jl. Kendalsari ( Barat Ke,Rungkut,"bKel. Penjaringan, Kel. Penjaringansari",TPS_BIASA,1,8.0,2000.0,AKTIF
67,PENJARINGAN SARI,Jl. Pandugo,Rungkut,"Kel. Kedung Baruk, Penjaringan Sari",TPS_BIASA,2,28.0,7000.0,AKTIF
68,MEDOKAN AYU,Jl. Raya Medokan Ayu /,Rungkut,Kel. Medokan Ayu,TPS_BIASA,1,14.0,3500.0,AKTIF
69,WONOREJO,Jl. Raya Wonorejo,Rungkut,Kel. Wonorejo,TPS_BIASA,1,14.0,3500.0,AKTIF
70,Kedung Baruk,Jl. Kedung Baruk,Rungkut,Kel. Kedung Baruk,TPS_BIASA,1,14.0,3500.0,NONAKTIF
71,WIGUNA TIMUR,Jl. Wiguna Timur,Gunung Anyar,"Kel. Gunung Anyar Ta, mKel. Gunung Anyar Tambak",TPS_BIASA,1,14.0,3500.0,AKTIF
72,RUNGKUT MENANGGAL,Jl. Rungkut Menanggal,Gunung Anyar,"HKel. Rungkut Menangg, Kel. Rungkut Menanggal, Rungkut Tengah",TPS_BIASA,2,28.0,7000.0,AKTIF
73,TENGGILIS MEJOYO,Jl. Tenggilis Mejoyo,Tenggilis Mejoyo,"Kel. Tenggilis Mejoyo, Kel. Tenggilis Mejoyo, Kel. Panjang Jiwo",TPS_BIASA,2,28.0,7000.0,AKTIF
74,TENGGILIS UTARA,Jl. Tenggilis Utara,Tenggilis Mejoyo,Kel. Tenggilis Utara,TPS_BIASA,1,14.0,3500.0,NONAKTIF
75,KENDANGSARI,Jl. Raya Kendangsari (de,Tenggilis Mejoyo,"Kel. Kendangsari, Kel. Tenggilis Mejoyo, Kendangsari, Rungkut Tengah",TPS_BIASA,3,42.0,10500.0,AKTIF
76,KUTISARI PLN,Jl. Kutisari Indah (depan,Tenggilis Mejoyo,"Kel. Kutisari, Kel. Kutisari, Siwalan Kerto",TPS_BIASA,2,28.0,7000.0,AKTIF
77,PRAPEN,Jl. Raya Prapen (Taman,Tenggilis Mejoyo,Kel. Panjang Jiwo,TPS_BIASA,1,14.0,3500.0,AKTIF
78,PRAPEN 88,"Jl. Raya Prapen (Sisi Timur ), (Depan Graha Track)",Tenggilis Mejoyo,"Kel. Prapen, Kel. Prapen, Kel. Tenggilis Mejoyo",TPS_BIASA,1,14.0,3500.0,AKTIF
79,Depo Wisma Permai,Jl. Wisma Permai III,Mulyorejo,Kel. Mulyorejo,TPS_BIASA,1,14.0,3500.0,AKTIF
80,SUTOREJO,Jl. Sutorejo,Mulyorejo,"Kel. Dukuh Sutorejo, Kel. Kalisari, Dukuh Sutorejo",TPS_BIASA,2,28.0,7000.0,AKTIF
81,KALIJUDAN,Jl. Kalijudan,Mulyorejo,Kel. Kalijudan,TPS_BIASA,1,14.0,3500.0,AKTIF
82,Merapi,Jl. Merapi,Sawahan,"Kel. Sawahan, Kel Sawahan",TPS_BIASA,1,14.0,3500.0,AKTIF
83,Bukit Barisan,Jl. Bukit Barisan,Sawahan,"Kel. Petemon, Kel. Petemon, Sawahan, Kedungdoro",TPS_BIASA,3,42.0,10500.0,NONAKTIF
84,Petemon Kuburan,Jl. Petemon Kuburan,Sawahan,Kel. Petemon,TPS_BIASA,1,8.0,2000.0,AKTIF
85,KEMBANG KUNING,Jl. Kembang Kuning,Sawahan,"Kel. Dr. Soetomo, Darmo, Putat Jaya, Pakis",TPS_BIASA,1,14.0,3500.0,AKTIF
86,Simo Kwagean,Jl. Putat,Sawahan,"Kel. Kupang Krajan, Petemon, Sawahan, Banyu Urip",TPS_BIASA,1,14.0,3500.0,AKTIF
87,Simo Katrungan,Jl. Simo Katrungan,Sawahan,Kel. Banyu Urip,TPS_BIASA,1,8.0,2000.0,AKTIF
